Nombre,Categoría,Calificación,Precio promedio (USD),Número de reseñas,Latitud,Longitud,geometry,departamento
Restaurante 272,China,4.9,47,403,4.98,-75.88,POINT (-75.88 4.98),CALDAS
Restaurante 273,Mexicana,4.5,38,51,4.27,-75.1,POINT (-75.1 4.27),TOLIMA
Restaurante 274,Italiana,4.8,22,358,5.84,-75.92,POINT (-75.92 5.84),ANTIOQUIA
Restaurante 275,Mexicana,2.4,13,168,4.27,-75.43,POINT (-75.43 4.27),TOLIMA
Restaurante 276,China,1.4,26,56,6.37,-76.21,POINT (-76.21 6.37),ANTIOQUIA
Restaurante 277,Colombiana,1.8,42,304,5.85,-76.41,POINT (-76.41 5.85),CHOCO
Restaurante 278,Italiana,3.0,14,453,5.52,-75.73,POINT (-75.73 5.52),CALDAS
Restaurante 279,China,4.2,37,463,3.58,-75.84,POINT (-75.84 3.58),TOLIMA
Restaurante 280,Colombiana,1.6,33,124,6.11,-75.52,POINT (-75.52 6.11),ANTIOQUIA
Restaurante 281,Japonesa,3.6,26,400,5.77,-74.19,POINT (-74.19 5.77),BOYACA
Restaurante 282,Francesa,2.3,48,244,4.09,-75.25,POINT (-75.25 4.09),TOLIMA
Restaurante 283,Peruana,2.4,49,236,4.58,-75.17,POINT (-75.17 4.58),TOLIMA
Restaurante 284,China,3.6,20,499,4.21,-74.24,POINT (-74.24 4.21),CUNDINAMARCA
Restaurante 285,Francesa,2.9,21,52,6.35,-74.29,POINT (-74.29 6.35),SANTANDER
Restaurante 286,Mexicana,4.2,22,233,5.96,-74.38,POINT (-74.38 5.96),BOYACA
Restaurante 287,Francesa,1.6,17,384,6.19,-76.26,POINT (-76.26 6.19),CHOCO
Restaurante 288,China,4.2,10,322,5.77,-74.98,POINT (-74.98 5.77),ANTIOQUIA
Restaurante 289,Francesa,1.3,18,417,4.77,-74.56,POINT (-74.56 4.77),CUNDINAMARCA
Restaurante 290,Peruana,1.8,37,101,4.02,-74.49,POINT (-74.49 4.02),CUNDINAMARCA
Restaurante 291,Italiana,3.6,11,312,4.02,-75.11,POINT (-75.11 4.02),TOLIMA
Restaurante 292,China,4.4,23,417,3.86,-76.46,POINT (-76.46 3.86),VALLE DEL CAUCA
Restaurante 293,Colombiana,2.0,22,182,5.04,-74.16,POINT (-74.16 5.04),CUNDINAMARCA
Restaurante 294,Francesa,2.3,11,274,6.16,-75.37,POINT (-75.37 6.16),ANTIOQUIA
Restaurante 295,Italiana,3.1,13,359,6.38,-75.56,POINT (-75.56 6.38),ANTIOQUIA
Restaurante 296,Peruana,1.8,21,110,4.26,-75.55,POINT (-75.55 4.26),TOLIMA
Restaurante 297,Mexicana,4.2,19,414,5.49,-75.48,POINT (-75.48 5.49),CALDAS
Restaurante 298,Mexicana,4.1,12,65,5.19,-75.92,POINT (-75.92 5.19),RISARALDA
Restaurante 299,Peruana,1.6,13,278,4.87,-75.71,POINT (-75.71 4.87),RISARALDA
Restaurante 300,Francesa,2.9,15,244,5.4,-74.14,POINT (-74.14 5.4),CUNDINAMARCA
Restaurante 301,Mexicana,4.1,32,300,4.51,-75.62,POINT (-75.62 4.51),QUINDIO
Restaurante 302,Colombiana,2.3,14,492,6.23,-75.24,POINT (-75.24 6.23),ANTIOQUIA
Restaurante 303,China,3.5,12,352,5.52,-74.46,POINT (-74.46 5.52),CUNDINAMARCA
Restaurante 304,Italiana,1.2,19,97,5.66,-75.23,POINT (-75.23 5.66),ANTIOQUIA
Restaurante 305,Japonesa,3.4,28,284,4.13,-75.72,POINT (-75.72 4.13),QUINDIO
Restaurante 306,Francesa,1.6,23,170,3.91,-75.24,POINT (-75.24 3.91),TOLIMA
Restaurante 307,Mexicana,4.3,30,369,4.58,-76.23,POINT (-76.23 4.58),VALLE DEL CAUCA
Restaurante 308,China,2.4,37,99,5.7,-76.19,POINT (-76.19 5.7),CHOCO
Restaurante 309,Japonesa,2.1,30,90,6.22,-74.83,POINT (-74.83 6.22),ANTIOQUIA
Restaurante 310,Colombiana,4.4,45,71,4.68,-74.3,POINT (-74.3 4.68),CUNDINAMARCA
Restaurante 311,Mexicana,1.2,33,420,5.72,-74.76,POINT (-74.76 5.72),ANTIOQUIA
Restaurante 312,Mexicana,2.6,47,231,4.81,-76.32,POINT (-76.32 4.81),CHOCO
Restaurante 313,Italiana,2.5,26,54,4.29,-75.53,POINT (-75.53 4.29),TOLIMA
Restaurante 314,Colombiana,2.1,31,194,5.62,-76.49,POINT (-76.49 5.62),CHOCO
Restaurante 315,Colombiana,4.6,28,406,5.79,-75.27,POINT (-75.27 5.79),ANTIOQUIA
Restaurante 316,Francesa,4.0,19,127,4.01,-76.04,POINT (-76.04 4.01),VALLE DEL CAUCA
Restaurante 317,Japonesa,1.3,20,280,4.32,-74.42,POINT (-74.42 4.32),CUNDINAMARCA
Restaurante 318,Italiana,3.9,47,346,4.88,-76.25,POINT (-76.25 4.88),CHOCO
Restaurante 319,Francesa,3.1,11,397,3.96,-76.5,POINT (-76.5 3.96),VALLE DEL CAUCA
Restaurante 320,Italiana,4.6,42,258,6.19,-75.42,POINT (-75.42 6.19),ANTIOQUIA
Restaurante 321,Colombiana,2.3,40,212,5.17,-76.13,POINT (-76.13 5.17),RISARALDA
Restaurante 322,Italiana,3.3,44,217,3.76,-74.73,POINT (-74.73 3.76),TOLIMA
Restaurante 323,Italiana,3.0,46,327,3.95,-74.29,POINT (-74.29 3.95),BOGOTA D.C.
Restaurante 324,Italiana,3.0,45,286,6.26,-76.4,POINT (-76.4 6.26),ANTIOQUIA
Restaurante 325,China,2.8,32,225,5.61,-75.55,POINT (-75.55 5.61),CALDAS
Restaurante 326,China,1.8,45,102,5.6,-74.11,POINT (-74.11 5.6),BOYACA
Restaurante 327,Japonesa,4.0,49,398,3.62,-74.74,POINT (-74.74 3.62),TOLIMA
Restaurante 328,Japonesa,2.8,48,59,6.09,-74.21,POINT (-74.21 6.09),SANTANDER
Restaurante 329,Peruana,4.8,35,195,4.73,-76.11,POINT (-76.11 4.73),VALLE DEL CAUCA
Restaurante 330,Colombiana,2.0,34,276,5.38,-75.97,POINT (-75.97 5.38),RISARALDA
Restaurante 331,Italiana,3.7,26,285,6.28,-76.13,POINT (-76.13 6.28),ANTIOQUIA
Restaurante 332,Colombiana,4.8,24,291,3.7,-75.77,POINT (-75.77 3.7),TOLIMA
Restaurante 333,China,3.7,46,354,4.85,-74.76,POINT (-74.76 4.85),CUNDINAMARCA
Restaurante 334,Italiana,4.5,13,120,3.55,-76.1,POINT (-76.1 3.55),VALLE DEL CAUCA
Restaurante 335,Francesa,4.3,31,207,4.9,-75.24,POINT (-75.24 4.9),TOLIMA
Restaurante 336,China,2.4,26,68,4.16,-75.85,POINT (-75.85 4.16),VALLE DEL CAUCA
Restaurante 337,China,3.4,31,104,6.13,-74.51,POINT (-74.51 6.13),BOYACA
Restaurante 338,China,1.6,26,493,4.6,-76.48,POINT (-76.48 4.6),CHOCO
Restaurante 339,Peruana,3.1,23,264,5.3,-75.96,POINT (-75.96 5.3),RISARALDA
Restaurante 340,Italiana,1.9,23,258,5.98,-75.05,POINT (-75.05 5.98),ANTIOQUIA
Restaurante 341,Japonesa,4.0,26,70,6.35,-76.27,POINT (-76.27 6.35),ANTIOQUIA
Restaurante 342,Mexicana,3.1,17,331,4.91,-75.38,POINT (-75.38 4.91),CALDAS
Restaurante 343,Francesa,2.6,43,298,4.77,-75.45,POINT (-75.45 4.77),RISARALDA
Restaurante 344,Francesa,2.1,35,77,3.63,-74.45,POINT (-74.45 3.63),META
Restaurante 345,Colombiana,5.0,39,472,3.44,-75.0,POINT (-75 3.44),TOLIMA
Restaurante 346,Italiana,1.3,31,466,5.23,-74.96,POINT (-74.96 5.23),TOLIMA
Restaurante 347,Japonesa,1.2,25,345,3.6,-74.22,POINT (-74.22 3.6),META
Restaurante 348,China,1.9,39,260,4.54,-74.14,POINT (-74.14 4.54),BOGOTA D.C.
Restaurante 349,Mexicana,4.9,25,334,3.41,-74.93,POINT (-74.93 3.41),TOLIMA
Restaurante 350,Italiana,4.9,47,69,5.25,-75.25,POINT (-75.25 5.25),CALDAS
Restaurante 351,Italiana,3.6,33,69,4.68,-75.04,POINT (-75.04 4.68),TOLIMA
Restaurante 352,Peruana,4.5,45,379,3.78,-75.58,POINT (-75.58 3.78),TOLIMA
Restaurante 353,Japonesa,1.9,44,445,4.29,-74.13,POINT (-74.13 4.29),CUNDINAMARCA
Restaurante 354,Mexicana,4.9,15,169,5.11,-74.81,POINT (-74.81 5.11),TOLIMA
Restaurante 355,China,1.6,13,146,5.37,-75.8,POINT (-75.8 5.37),CALDAS
Restaurante 356,Italiana,1.4,27,169,4.79,-76.36,POINT (-76.36 4.79),CHOCO
Restaurante 357,Francesa,1.4,15,74,5.81,-76.39,POINT (-76.39 5.81),CHOCO
Restaurante 358,Francesa,3.3,35,202,3.74,-76.01,POINT (-76.01 3.74),VALLE DEL CAUCA
Restaurante 359,Mexicana,4.1,46,294,3.65,-75.94,POINT (-75.94 3.65),TOLIMA
Restaurante 360,China,2.5,36,309,3.53,-75.5,POINT (-75.5 3.53),TOLIMA
Restaurante 361,Mexicana,4.9,20,53,5.01,-75.98,POINT (-75.98 5.01),RISARALDA
Restaurante 362,Italiana,2.7,47,442,5.52,-74.99,POINT (-74.99 5.52),CALDAS
Restaurante 363,Peruana,1.6,25,192,3.79,-75.99,POINT (-75.99 3.79),VALLE DEL CAUCA
Restaurante 364,Peruana,2.9,28,331,5.32,-76.05,POINT (-76.05 5.32),RISARALDA
Restaurante 365,Francesa,3.7,24,384,4.83,-75.37,POINT (-75.37 4.83),CALDAS
Restaurante 366,Peruana,4.3,35,395,6.36,-74.37,POINT (-74.37 6.36),SANTANDER
Restaurante 367,Colombiana,2.8,40,269,5.55,-75.38,POINT (-75.38 5.55),CALDAS
Restaurante 368,Mexicana,3.4,28,376,5.37,-75.51,POINT (-75.51 5.37),CALDAS
Restaurante 369,Peruana,2.1,33,209,5.11,-75.11,POINT (-75.11 5.11),TOLIMA
Restaurante 370,Colombiana,3.6,18,125,6.39,-75.88,POINT (-75.88 6.39),ANTIOQUIA
Restaurante 371,Colombiana,4.9,32,148,6.34,-75.65,POINT (-75.65 6.34),ANTIOQUIA
Restaurante 372,Japonesa,1.2,13,229,5.01,-75.99,POINT (-75.99 5.01),RISARALDA
Restaurante 373,Francesa,4.5,19,176,4.77,-75.13,POINT (-75.13 4.77),TOLIMA
Restaurante 374,Mexicana,3.2,18,81,4.79,-74.83,POINT (-74.83 4.79),TOLIMA
Restaurante 375,Colombiana,2.0,28,314,4.69,-74.88,POINT (-74.88 4.69),TOLIMA
Restaurante 376,Italiana,4.8,24,383,4.99,-75.89,POINT (-75.89 4.99),CALDAS
Restaurante 377,Peruana,2.9,43,62,4.22,-74.63,POINT (-74.63 4.22),TOLIMA
Restaurante 378,Japonesa,2.3,28,489,6.18,-75.89,POINT (-75.89 6.18),ANTIOQUIA
Restaurante 379,China,1.7,30,429,4.87,-76.14,POINT (-76.14 4.87),CHOCO
Restaurante 380,Peruana,2.0,43,477,5.93,-75.66,POINT (-75.66 5.93),ANTIOQUIA
Restaurante 381,Peruana,4.3,26,401,4.83,-75.07,POINT (-75.07 4.83),TOLIMA
Restaurante 382,Peruana,3.5,27,388,5.55,-76.16,POINT (-76.16 5.55),CHOCO
Restaurante 383,Japonesa,4.7,26,463,4.41,-74.94,POINT (-74.94 4.41),TOLIMA
Restaurante 384,China,1.9,11,449,5.27,-74.43,POINT (-74.43 5.27),CUNDINAMARCA
Restaurante 385,Francesa,1.5,10,445,4.9,-75.8,POINT (-75.8 4.9),RISARALDA
Restaurante 386,Mexicana,1.0,19,251,4.5,-75.42,POINT (-75.42 4.5),TOLIMA
Restaurante 387,Fusión?,3.0,46,499,6.04,-75.95,POINT (-75.95 6.04),ANTIOQUIA
Restaurante 388,China,5.0,14,67,3.74,-75.63,POINT (-75.63 3.74),TOLIMA
Restaurante 389,Peruana,3.8,21,446,4.86,-76.45,POINT (-76.45 4.86),CHOCO
Restaurante 390,Italiana,2.2,45,142,3.98,-74.21,POINT (-74.21 3.98),META
Restaurante 391,China,4.5,40,329,5.98,-75.5,POINT (-75.5 5.98),ANTIOQUIA
Restaurante 392,China,4.1,47,407,4.16,-74.61,POINT (-74.61 4.16),TOLIMA
Restaurante 393,Mexicana,1.1,18,445,5.3,-76.16,POINT (-76.16 5.3),RISARALDA
Restaurante 394,Colombiana,4.3,35,365,3.9,-74.55,POINT (-74.55 3.9),TOLIMA
Restaurante 395,Italiana,2.2,24,109,4.61,-74.44,POINT (-74.44 4.61),CUNDINAMARCA
Restaurante 396,Mexicana,1.6,25,263,6.1,-74.78,POINT (-74.78 6.1),ANTIOQUIA
Restaurante 397,Japonesa,1.9,22,149,3.9,-74.33,POINT (-74.33 3.9),BOGOTA D.C.
Restaurante 398,China,2.9,34,50,5.39,-76.1,POINT (-76.1 5.39),RISARALDA
Restaurante 399,Colombiana,2.7,39,92,4.01,-75.36,POINT (-75.36 4.01),TOLIMA
Restaurante 400,Italiana,2.2,16,360,4.65,-75.01,POINT (-75.01 4.65),TOLIMA
Restaurante 401,Francesa,1.7,13,217,5.02,-75.07,POINT (-75.07 5.02),TOLIMA
Restaurante 402,Italiana,4.0,49,241,5.13,-74.43,POINT (-74.43 5.13),CUNDINAMARCA
Restaurante 403,Italiana,5.0,47,83,5.21,-75.98,POINT (-75.98 5.21),RISARALDA
Restaurante 404,Peruana,4.1,39,83,5.32,-76.08,POINT (-76.08 5.32),RISARALDA
Restaurante 405,China,2.2,19,225,4.22,-75.89,POINT (-75.89 4.22),VALLE DEL CAUCA
Restaurante 406,China,2.0,39,466,4.6,-74.36,POINT (-74.36 4.6),CUNDINAMARCA
Restaurante 407,Francesa,1.9,48,245,3.51,-74.24,POINT (-74.24 3.51),META
Restaurante 408,Francesa,1.5,16,207,5.71,-75.13,POINT (-75.13 5.71),ANTIOQUIA
Restaurante 409,Francesa,3.2,45,294,5.91,-75.3,POINT (-75.3 5.91),ANTIOQUIA
Restaurante 410,Mexicana,3.4,44,415,4.0,-75.05,POINT (-75.05 4),TOLIMA
Restaurante 411,Mexicana,3.8,33,389,4.0,-75.02,POINT (-75.02 4),TOLIMA
Restaurante 412,China,3.7,48,395,3.53,-76.09,POINT (-76.09 3.53),VALLE DEL CAUCA
Restaurante 413,China,2.2,45,384,6.31,-74.85,POINT (-74.85 6.31),ANTIOQUIA
Restaurante 414,Francesa,2.3,29,120,5.82,-75.41,POINT (-75.41 5.82),ANTIOQUIA
Restaurante 415,Mexicana,3.7,41,376,4.48,-75.26,POINT (-75.26 4.48),TOLIMA
Restaurante 416,Colombiana,2.4,48,163,4.85,-76.43,POINT (-76.43 4.85),CHOCO
Restaurante 417,Mexicana,1.9,35,334,4.28,-74.67,POINT (-74.67 4.28),CUNDINAMARCA
Restaurante 418,China,2.5,35,456,5.19,-74.49,POINT (-74.49 5.19),CUNDINAMARCA
Restaurante 419,Mexicana,2.1,45,467,5.55,-75.01,POINT (-75.01 5.55),CALDAS
Restaurante 420,China,1.4,44,192,4.74,-74.7,POINT (-74.7 4.74),CUNDINAMARCA
Restaurante 421,Francesa,4.3,44,146,6.02,-75.25,POINT (-75.25 6.02),ANTIOQUIA
Restaurante 423,Francesa,1.9,42,450,3.83,-75.55,POINT (-75.55 3.83),TOLIMA
Restaurante 424,Francesa,1.3,45,369,5.27,-74.6,POINT (-74.6 5.27),CUNDINAMARCA
Restaurante 425,Colombiana,4.0,23,261,4.79,-75.38,POINT (-75.38 4.79),RISARALDA
Restaurante 426,Peruana,1.8,42,366,6.21,-74.87,POINT (-74.87 6.21),ANTIOQUIA
Restaurante 427,Colombiana,2.6,33,234,4.58,-75.01,POINT (-75.01 4.58),TOLIMA
Restaurante 428,China,1.3,24,254,4.61,-74.81,POINT (-74.81 4.61),CUNDINAMARCA
Restaurante 429,Italiana,1.9,40,413,5.35,-74.62,POINT (-74.62 5.35),CUNDINAMARCA
Restaurante 430,Japonesa,4.2,26,265,4.98,-75.27,POINT (-75.27 4.98),TOLIMA
Restaurante 431,Colombiana,4.2,21,295,4.52,-74.55,POINT (-74.55 4.52),CUNDINAMARCA
Restaurante 432,China,1.8,31,288,6.37,-75.31,POINT (-75.31 6.37),ANTIOQUIA
Restaurante 433,Peruana,2.3,32,342,4.31,-74.2,POINT (-74.2 4.31),BOGOTA D.C.
Restaurante 434,Mexicana,1.5,35,440,4.23,-74.69,POINT (-74.69 4.23),CUNDINAMARCA
Restaurante 435,Peruana,1.3,23,57,5.99,-76.09,POINT (-76.09 5.99),ANTIOQUIA
Restaurante 436,Francesa,5.0,21,127,3.41,-74.51,POINT (-74.51 3.41),META
Restaurante 437,Francesa,3.6,13,373,4.0,-75.18,POINT (-75.18 4),TOLIMA
Restaurante 438,Francesa,3.2,22,326,5.17,-74.14,POINT (-74.14 5.17),CUNDINAMARCA
Restaurante 439,China,4.1,27,494,3.89,-74.77,POINT (-74.77 3.89),TOLIMA
Restaurante 440,Francesa,4.4,37,251,6.36,-76.3,POINT (-76.3 6.36),ANTIOQUIA
Restaurante 441,Colombiana,4.2,47,263,4.79,-75.55,POINT (-75.55 4.79),RISARALDA
Restaurante 442,Mexicana,1.1,28,143,5.19,-75.26,POINT (-75.26 5.19),CALDAS
Restaurante 443,Francesa,1.7,47,124,3.88,-74.49,POINT (-74.49 3.88),CUNDINAMARCA
Restaurante 444,China,3.6,12,206,4.27,-74.75,POINT (-74.75 4.27),CUNDINAMARCA
Restaurante 445,Mexicana,2.5,28,202,5.24,-75.61,POINT (-75.61 5.24),CALDAS
Restaurante 446,Francesa,4.9,29,491,5.05,-74.93,POINT (-74.93 5.05),TOLIMA
Restaurante 447,Italiana,3.7,34,191,5.75,-75.12,POINT (-75.12 5.75),ANTIOQUIA
Restaurante 448,Francesa,4.8,20,127,4.21,-76.2,POINT (-76.2 4.21),VALLE DEL CAUCA
Restaurante 449,Japonesa,1.8,26,371,5.36,-75.94,POINT (-75.94 5.36),RISARALDA
Restaurante 450,Peruana,4.5,44,231,4.27,-75.68,POINT (-75.68 4.27),QUINDIO
Restaurante 451,Colombiana,2.3,23,244,5.16,-76.03,POINT (-76.03 5.16),RISARALDA
Restaurante 452,Mexicana,5.0,48,207,5.22,-76.14,POINT (-76.14 5.22),RISARALDA
Restaurante 453,Colombiana,1.6,28,195,3.77,-76.36,POINT (-76.36 3.77),VALLE DEL CAUCA
Restaurante 454,Italiana,3.1,12,103,5.05,-74.4,POINT (-74.4 5.05),CUNDINAMARCA
Restaurante 455,Italiana,4.2,43,405,3.44,-75.81,POINT (-75.81 3.44),TOLIMA
Restaurante 456,Japonesa,2.7,31,326,4.9,-75.8,POINT (-75.8 4.9),RISARALDA
Restaurante 457,Colombiana,2.9,47,358,5.49,-76.01,POINT (-76.01 5.49),RISARALDA
Restaurante 458,Mexicana,4.9,36,132,3.62,-75.36,POINT (-75.36 3.62),TOLIMA
Restaurante 459,Italiana,2.7,30,449,6.22,-75.27,POINT (-75.27 6.22),ANTIOQUIA
Restaurante 460,Italiana,3.4,40,205,4.78,-76.0,POINT (-76 4.78),VALLE DEL CAUCA
Restaurante 461,Francesa,1.2,36,53,6.22,-75.04,POINT (-75.04 6.22),ANTIOQUIA
Restaurante 462,Japonesa,4.4,46,360,3.72,-74.76,POINT (-74.76 3.72),TOLIMA
Restaurante 463,Peruana,3.6,11,320,6.25,-75.6,POINT (-75.6 6.25),ANTIOQUIA
Restaurante 464,China,2.6,18,113,3.73,-75.09,POINT (-75.09 3.73),TOLIMA
Restaurante 465,Peruana,1.1,28,498,4.78,-75.29,POINT (-75.29 4.78),TOLIMA
Restaurante 466,Peruana,3.4,45,161,6.21,-76.03,POINT (-76.03 6.21),ANTIOQUIA
Restaurante 467,Italiana,1.1,19,288,4.1,-74.75,POINT (-74.75 4.1),TOLIMA
Restaurante 468,Mexicana,1.0,49,193,3.5,-74.58,POINT (-74.58 3.5),META
Restaurante 469,Mexicana,3.5,48,423,5.78,-74.94,POINT (-74.94 5.78),ANTIOQUIA
Restaurante 470,Francesa,1.8,16,69,5.19,-75.72,POINT (-75.72 5.19),CALDAS
Restaurante 471,Mexicana,1.8,13,113,4.94,-74.28,POINT (-74.28 4.94),CUNDINAMARCA
Restaurante 472,Francesa,3.6,24,338,3.5,-75.41,POINT (-75.41 3.5),TOLIMA
Restaurante 473,Italiana,1.2,21,130,5.36,-75.86,POINT (-75.86 5.36),RISARALDA
Restaurante 474,Italiana,2.3,15,246,3.91,-75.52,POINT (-75.52 3.91),TOLIMA
Restaurante 475,Peruana,1.6,18,431,6.19,-74.84,POINT (-74.84 6.19),ANTIOQUIA
Restaurante 476,Italiana,3.3,44,118,5.46,-74.47,POINT (-74.47 5.46),CUNDINAMARCA
Restaurante 477,Italiana,3.6,17,235,5.52,-75.64,POINT (-75.64 5.52),CALDAS
Restaurante 478,China,3.9,16,216,4.1,-75.94,POINT (-75.94 4.1),VALLE DEL CAUCA
Restaurante 479,Japonesa,2.0,13,254,6.04,-75.0,POINT (-75 6.04),ANTIOQUIA
Restaurante 480,Peruana,1.4,22,213,5.01,-74.29,POINT (-74.29 5.01),CUNDINAMARCA
Restaurante 481,Peruana,1.3,28,143,5.97,-76.06,POINT (-76.06 5.97),ANTIOQUIA
Restaurante 482,Japonesa,2.7,16,298,4.21,-74.57,POINT (-74.57 4.21),TOLIMA
Restaurante 483,China,4.8,19,117,5.67,-75.36,POINT (-75.36 5.67),ANTIOQUIA
Restaurante 484,Italiana,1.9,34,392,5.12,-74.58,POINT (-74.58 5.12),CUNDINAMARCA
Restaurante 485,Mexicana,2.0,44,70,3.55,-75.29,POINT (-75.29 3.55),TOLIMA
Restaurante 486,Francesa,1.4,34,368,4.62,-75.59,POINT (-75.59 4.62),QUINDIO
Restaurante 487,Peruana,3.4,38,134,3.95,-74.83,POINT (-74.83 3.95),TOLIMA
Restaurante 488,Japonesa,3.7,21,439,4.48,-74.34,POINT (-74.34 4.48),CUNDINAMARCA
Restaurante 489,Colombiana,3.6,49,73,4.55,-75.73,POINT (-75.73 4.55),QUINDIO
Restaurante 490,Francesa,4.4,21,160,4.82,-75.39,POINT (-75.39 4.82),CALDAS
Restaurante 491,Colombiana,2.9,15,486,5.2,-75.95,POINT (-75.95 5.2),RISARALDA
Restaurante 492,Colombiana,1.5,19,400,5.11,-76.06,POINT (-76.06 5.11),RISARALDA
Restaurante 493,Peruana,2.2,11,132,3.52,-74.63,POINT (-74.63 3.52),HUILA
Restaurante 494,Italiana,3.6,34,407,5.65,-76.02,POINT (-76.02 5.65),ANTIOQUIA
Restaurante 495,Colombiana,3.5,16,127,6.25,-74.6,POINT (-74.6 6.25),ANTIOQUIA
Restaurante 496,Italiana,3.1,49,483,4.45,-75.47,POINT (-75.47 4.45),TOLIMA
Restaurante 497,China,3.7,32,429,3.94,-74.11,POINT (-74.11 3.94),META
Restaurante 498,Mexicana,3.5,20,189,5.02,-76.03,POINT (-76.03 5.02),RISARALDA
Restaurante 499,Colombiana,4.5,45,489,5.51,-76.28,POINT (-76.28 5.51),CHOCO
Restaurante 500,Peruana,3.3,32,425,5.44,-76.32,POINT (-76.32 5.44),CHOCO
Restaurante 501,Mexicana,4.1,16,320,5.24,-74.49,POINT (-74.49 5.24),CUNDINAMARCA
Restaurante 502,Italiana,2.0,36,388,3.84,-75.45,POINT (-75.45 3.84),TOLIMA
Restaurante 504,Francesa,4.6,26,218,4.68,-74.4,POINT (-74.4 4.68),CUNDINAMARCA
Restaurante 505,Peruana,2.5,41,246,4.06,-74.4,POINT (-74.4 4.06),CUNDINAMARCA
Restaurante 506,China,4.1,35,311,3.66,-74.56,POINT (-74.56 3.66),HUILA
Restaurante 507,Japonesa,3.9,31,264,4.65,-75.9,POINT (-75.9 4.65),VALLE DEL CAUCA
Restaurante 508,China,1.2,22,116,5.25,-75.61,POINT (-75.61 5.25),CALDAS
Restaurante 509,Colombiana,3.3,21,278,5.4,-74.71,POINT (-74.71 5.4),CALDAS
Restaurante 510,Peruana,1.5,16,210,6.29,-75.33,POINT (-75.33 6.29),ANTIOQUIA
Restaurante 511,China,4.9,10,476,3.86,-76.13,POINT (-76.13 3.86),VALLE DEL CAUCA
Restaurante 512,Japonesa,4.2,42,171,6.36,-75.92,POINT (-75.92 6.36),ANTIOQUIA
Restaurante 513,Francesa,1.4,23,198,5.36,-74.17,POINT (-74.17 5.36),CUNDINAMARCA
Restaurante 514,Mexicana,1.5,26,389,4.76,-76.14,POINT (-76.14 4.76),VALLE DEL CAUCA
Restaurante 515,Francesa,3.4,13,242,6.06,-74.76,POINT (-74.76 6.06),ANTIOQUIA
Restaurante 516,China,2.4,48,280,5.48,-75.35,POINT (-75.35 5.48),CALDAS
Restaurante 517,Japonesa,1.1,10,160,4.45,-74.7,POINT (-74.7 4.45),CUNDINAMARCA
Restaurante 518,Mexicana,3.2,33,194,6.05,-74.91,POINT (-74.91 6.05),ANTIOQUIA
Restaurante 519,Peruana,2.6,43,270,5.4,-75.45,POINT (-75.45 5.4),CALDAS
Restaurante 520,Japonesa,1.4,43,441,5.5,-75.65,POINT (-75.65 5.5),CALDAS
Restaurante 521,Francesa,4.2,33,113,6.09,-74.69,POINT (-74.69 6.09),ANTIOQUIA
Restaurante 522,Italiana,4.7,24,175,4.75,-75.72,POINT (-75.72 4.75),RISARALDA
Restaurante 523,Italiana,4.0,26,267,5.37,-74.61,POINT (-74.61 5.37),CUNDINAMARCA
Restaurante 524,Mexicana,4.3,22,333,5.63,-74.87,POINT (-74.87 5.63),CALDAS
Restaurante 525,Mexicana,1.9,16,403,4.76,-75.11,POINT (-75.11 4.76),TOLIMA
Restaurante 527,Italiana,1.8,44,285,5.71,-76.01,POINT (-76.01 5.71),ANTIOQUIA
Restaurante 528,Francesa,4.1,32,62,3.54,-74.79,POINT (-74.79 3.54),TOLIMA
Restaurante 529,Mexicana,4.8,48,471,5.55,-76.28,POINT (-76.28 5.55),CHOCO
Restaurante 530,Italiana,3.9,32,202,6.13,-74.17,POINT (-74.17 6.13),SANTANDER
Restaurante 531,Mexicana,4.5,35,288,4.44,-74.15,POINT (-74.15 4.44),BOGOTA D.C.
Restaurante 532,Mexicana,3.6,10,239,3.71,-76.19,POINT (-76.19 3.71),VALLE DEL CAUCA
Restaurante 533,Japonesa,2.6,23,200,4.1,-76.25,POINT (-76.25 4.1),VALLE DEL CAUCA
Restaurante 534,Mexicana,2.7,41,135,5.09,-75.51,POINT (-75.51 5.09),CALDAS
Restaurante 535,Italiana,1.3,19,70,6.23,-74.19,POINT (-74.19 6.23),SANTANDER
Restaurante 536,Francesa,1.1,10,231,4.94,-75.54,POINT (-75.54 4.94),CALDAS
Restaurante 537,Italiana,3.8,14,368,3.74,-75.63,POINT (-75.63 3.74),TOLIMA
Restaurante 538,Italiana,2.8,12,207,5.28,-74.81,POINT (-74.81 5.28),TOLIMA
Restaurante 539,Mexicana,3.2,36,416,5.6,-76.07,POINT (-76.07 5.6),CHOCO
Restaurante 540,Japonesa,3.2,31,125,4.58,-75.63,POINT (-75.63 4.58),QUINDIO
Restaurante 541,Colombiana,2.1,27,378,5.56,-75.8,POINT (-75.8 5.56),ANTIOQUIA
Restaurante 542,Peruana,2.9,25,465,4.37,-75.06,POINT (-75.06 4.37),TOLIMA
Restaurante 543,Colombiana,2.9,11,252,5.77,-76.11,POINT (-76.11 5.77),CHOCO
Restaurante 544,Colombiana,2.6,22,278,4.42,-75.18,POINT (-75.18 4.42),TOLIMA
Restaurante 545,Italiana,4.3,25,201,4.17,-74.44,POINT (-74.44 4.17),CUNDINAMARCA
Restaurante 546,Mexicana,2.8,17,312,6.04,-75.27,POINT (-75.27 6.04),ANTIOQUIA
